this item worked great but it broke after months of use,negative
the headsets are easy to use and everyone loves them,positive
this phone works great,positive
the construction of the headsets is poor,negative
product was excellent and works better than the verizon one and boy was it cheaper,positive
the phone loads super,positive
for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,negative
made very sturdy,positive
worked great,positive
the ear buds only play music in one ear,negative
dont waste your money,negative
will order from them again,positive
if you plan to use this in a car forget about it,negative
i found this product to be waaay too big,negative
best i've found so far i've tried other bluetooths and this one has the best quality for both me and the listener as well as ease of using,positive
i'm very disappointed with my decision,negative
integrated seamlessly with the motorola razr phone,positive
buyer beware you could flush money right down the toilet,negative
definitely a bargain,positive
the price was very good and with the free shipping and all it was a good purchase,positive
i received my supposedly new motorola and apparently there was not a match between the phone and the charger,negative
pros good camera very nice pictures also has cool styles like black and white and more,positive
that's a huge design flaw unless i'm not using it correctly which i don't think is the case,negative
i love my headset my jabra bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,positive
the camera although rated at an impressive megapixels renders images that fall well below expectations of such a relatively high resolution,negative
i purcashed this for the car charger and it does not work,negative
sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me ,positive
this phone is slim and light and the display is beautiful,positive
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,positive
great product fast shipping,positive
absolutely great,positive
the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,positive
i got this phone around the end of may and i'm completely unhappy with it,negative
it is very comfortable on the ear,positive
it has been a winner for us,positive
setup couldn't have been simpler,positive
i've tried several different earpieces for my cell phone and this jabra one is the first one i've found that fits my ear comfortably,positive
could not get strong enough signal,negative
iam very pleased with my purchase,positive
bad quality,negative
gets the job done,positive
great audio,positive
basically the service was very bad,negative
it did not work in my cell phone plug i am very up set with the charger,negative
i've only had my bluetooth for a few weeks but i really like it,positive
the bt headset was such a disapoinment,negative
it is so small and you don't even realize that it is there after a while of getting used to it,positive
the accompanied software is almost brilliant,positive
headset works great & was packaged nicely to avoid any damage,positive
i definitly recommend,positive
buyer be very careful,negative
the majority of the logitech earbud headsets failed,negative
very good stuff for the price,positive
my headset works just peachy keen,positive
in my house i was getting dropped coverage upstairs and no coverage in my basement,negative
voice recognition is tremendous,positive
what a waste,negative
during several different minute calls i experienced drops and it was in an area that had bars,negative
i was not happy with this item,negative
very disappointed,negative
the phone takes forever to charge like to hours literally,negative
i got this phone on reccomendation from a relative and i'm glad i did,positive
what a waste of time,negative
its reception is very very poor,negative
items stated as included from the description are not included,negative
after months screen just went black all of a sudden,negative
i was hoping for more,negative
audio quality is poor very poor,negative
i had absolutely no problem with this headset linking to my blackberry curve,positive
i know that sounds funny but to me it seemed like sketchy technology that wouldn't work wellwell this one works great,positive
i've bought wired headphones that sound better than these,negative
this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,positive
nice quality build unlike some cheap s out there,positive
this item is fantastic and works perfectly,positive
and i just love the colors,positive
w i is just superb,positive
all i can do is whine on the internet so here it goesthe more i use the thing the less i like it,negative
great charger,positive
this is essentially a communications tool that does not communicate,negative
works like a charm; it work the same as the one i got with the phone,positive
i still maintain that monkeys shouldn't make headphones we just obviously don't share enough dna to copy the design over to humans,negative
great value,positive
doesn't work at all i bougth it for my lc and its not working,negative
the look of it is very sharp and the screen is nice and clear with great graphics,positive
doesn't last long,negative
one thing i hate is the mode set button at the side,negative
excellent service,positive
thank you for wasting my money,negative
how can that bethe audio quality is poor,negative
the igo chargers and tips are really great,positive
the file browser offers all the options that one needshandsfree is great,positive
superb phone on a great network,positive
i connected my wife's bluetoothmotorola hs to my phone and it worked like a charm whether the phone was in my pocket or the case,positive
i put the latest os on it vg and it now likes to slow to a crawl and lock up every once in a while,negative
it only recognizes the phone as its storage device,negative
"if you like a loud buzzing to override all your conversations, then this phone is for you",negative
don't buy this product,negative
i've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,negative
the sound quality is good and functionality is awesome,positive
i have this phone and it is a thorn in my side i really abhor it,negative
i recently had problems where i could not stay connected for more than minutes before being disconnected,negative
incredible,positive
design flaw,negative
great phone,positive
waste of bucks,negative
but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then i'm lost,negative
the replacement died in a few weeks,negative
any ring toneoverall good phone to buy,positive
lately they have been extremely nice and helpful on the phone,positive
i have had problems wit hit dropping signal and more,negative
not impressed,negative
light weight i hardly notice it is there,positive
you'll love how thin it is,positive
bad choice,negative
the pleather case doesn't fit,negative
useless phone simply deaf,negative
the color is even prettier than i thought it would be and the graphics are incredibly sharp,positive
all in all i think it was a good investment,positive
it makes very strange ticking noises before it ends the call,negative
the best electronics of the available fm transmitters,positive
battery lasts only a few hours,negative
great headset very impressed h ,positive
the mega pixel camera being a part of a phone is reasonably good,positive
i've had this for nearly years and it has worked great for me,positive
good transmit audio,positive
we are sending it back,negative
i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,negative
if you hate earbugs avoid this phone by all means,negative
great price also,positive
the range is very decent i've been able to roam around my house with the phone in the living room with no reception/sound quality issues,positive
fast service,positive
i would highly recommend this,positive
i would recommend this,positive
i also didn't like the on button it felt like it would crack with use,negative
worst phone ever,negative
i'm still infatuated with this phone,positive
freezes frequently,negative
it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child like the company is,negative
simple lightweight and great fit,positive
all in all i'd expected a better consumer experience from motorola,negative
there's a horrible tick sound in the background on all my calls that i have never experienced before,negative
these are certainly very comfortable and functionality is decent,positive
i usually don't like headbands but this one is very lightweight & doesn't mess up my hair,positive
i'm a bit disappointed,negative
i have had this phone for over a year now and i will tell you its not that great,negative
i ordered this for sony ericsson w i but i think it only worked once thats when i first used it,negative
the battery is completely useless to me,negative
what a big waste of time,negative
don't waste your on this one,negative
great sound and service,positive
really pleased with this product so far,positive
one of my favorite purchases ever,positive
best bluetooth on the market,positive
authentic leather with nice shine and comfort i recommend you this case ,positive
i was very excited to get this headset because i thought it was really cute,positive
do not make the same mistake as me,negative
big disappointment with calendar sync,negative
the phone was unusable and was not new,negative
worst customer service ever,negative
no additional ear gels provided and no instructions whatsoever,negative
it defeats the purpose of a bluetooth headset,negative
worth every penny,positive
excellent wallet type phone case,positive
nice headphones for the price and they work great,positive
internet is excrutiatingly slow,negative
it is very comfortable to wear as well which is probably the most important aspect about using a case,positive
it's fits like a glove and is strong secure and durable,positive
o my gosh the best phone i have ever had,positive
it's very attractive and appears to be of good quality,positive
i love all the features and form factor,positive
this product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,negative
poor quality and service,negative
the cable looks so thin and flimsy it is scary,negative
great earpiece,positive
excellent hands free tool,positive
great for using with your home stereo,positive
good product incredible value,positive
only had this a month but it's worked flawlessly so far,positive
works great,positive
absolutel junk,negative
that one didn't work either,negative
battery life is real good,positive
returned hours later,negative
it's a great item,positive
don't waste your money,negative
love this headset,positive
not only will it drain your player but may also potentially fry it,negative
worked perfectly,positive
unreliable i'm giving up,negative
i gave it stars because of the sound quality,positive
avoid this one if you can,negative
reversible plug works great,positive
i wasted my little money with this earpiece,negative
very good phone,positive
best of all is the rotating feature very helpful,positive
comfort for our whole family,positive
good product good seller,positive
i love this bluetooth,positive
first of all it doesn't wear well,negative
i am very impressed with this headset from plantronics,positive
i got it because it was so small and adorable,positive
great phone,positive
i wouldn't recommend buying this product,negative
piece of junk,negative
poorly contstruct hinge,negative
"this item is great, installed it, let it charged up overnite and it has been working good every since with no problems",positive
great phone,positive
don't buy it,negative
excellent phone,positive
do not purchase this phone,negative
the voice recognition thru the handset is excellent,positive
this is hands down the best phone i've ever had,positive
works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,positive
this one works and was priced right,positive
customer service was terrible,negative
battery life still not long enough in motorola razor vi,negative
sending it back,negative
now i know that i made a wise decision,positive
someone shouldve invented this sooner,positive
good price,positive
everything worked on the first trythe device was certainly engineered in a clever way and the construction feels good,positive
i received it quickly and it works great,positive
has been working great,positive
as many people complained i found this headset's microphone was very weak,negative
my year old nokia from tracfone holds the charge a lot better than this,negative
they do not care about the consumer one bit,negative
this is a good battery and it got here really fast,positive
the instruction manual is lacking,negative
also its slim enough to fit into my alarm clock docking station without removing the case,positive
phone now holds charge like it did when it was new,positive
the battery is unreliable as well as the service use antena,negative
it's uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg,negative
we have gotten a lot of compliments on it,positive
this is definitely a must have if your state does not allow cell phone usage while driving,positive
i want my money back,negative
i love this device,positive
i am also very happy with the price,positive
i ordered this product first and was unhappy with it immediately,negative
the ngage is still lacking in earbuds,negative
i was able to do voice dialing in the car with no problem,positive
i have bars on my cell phone when i am home but you cant not hear anything,negative
good item low price,positive
however the riingtones are not the best and neither are the games,negative
the plug did not work very well,negative
amazon sucks,negative
rip off over charge shipping,negative
very comfortable,positive
the battery is working well as a replacement for the original that came with the phone over years ago,positive
the reception is excellent,positive
it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days,positive
very clear quality sound and you don't have to mess with the sound on your ipod since you have the sound buttons on the headset,positive
 long lasting battery you don't have to recharge it as frequentyly as some of the flip phones,negative
obviously there is a problem with the adhesive,negative
very disappointing,negative
it was an inexpensive piece but i would still have expected better quality,negative
it is practically useless and did not add any kind of boost to my reception after i bought it,negative
excellent sound quality,positive
was not happy,negative
a piece of junk that broke after being on my phone for days,negative
new battery works great in phone,positive
worst customer service,negative
i've dropped my phone more times than i can say even on concrete and my phone is still great knock on wood,positive
reception is terrible and full of static,negative
good audio quality,positive
this little device has transformed my organizational capability and made my life a whole lot easier,positive
i was sitting in my vehicle with the cradle on my belt and the headset lost signal,negative
were jerks on the phone,negative
works like a charm works as advertised,positive
comfortable nice range good battery life,positive
their network coverage in los angeles is horrible,negative
excellent starter wireless headset,negative
the loudspeaker option is great the bumpers with the lights is very appealing,negative
the only thing that i think could improve is the sound leaks out from the headset,negative
first off the reception sucks i have never had more than bars ever,negative
the phone gets extremely hot,negative
the microphone also works well but according to people i have called it applifies everything,positive
nice design and quality,positive
also if your phone is dropped this case is not going to save it specially when dropped face down,negative
it is light easy to use and has very clear reception and transmission,positive
bad fit way too big,negative
it definitely was not as good as my s,positive
awesome device,positive
waste of money,negative
i had ordered a motorola data cable got a very well finished and working product,positive
love this phone,positive
i was looking for this headset for a long time and now that i've got it i couldn't be happier,positive
i'll be drivng along and my headset starts ringing for no reason,negative
display is excellent and camera is as good as any from that year,positive
battery life is also great,positive
the worst phone i've ever had only had it for a few months,negative
not a good item it worked for a while then started having problems in my auto reverse tape player,negative
this is so embarassing and also my ears hurt if i try to push the ear plug into my ear,negative
protects the phone on all sides,positive
this is a very average phone with bad battery life that operates on a weak network,negative
clear skype calls long battery life long range,positive
soyo technology sucks,negative
great hands free device,positive
you can even take self portraits with the outside exterior display very cool,positive
same problem as others have mentioned,negative
after trying many many handsfree gadgets this is the one that finally works well,positive
magical help,positive
the worst piece of crap ever along with the verizon customer service,negative
poor sound quality,negative
the best phone in market ,positive
it worked very well,positive
the company shipped my product very promptly and it works well,positive
exactly what i wanted,positive
the picture resolution is far below what other comparably priced phones are offering today,negative
this is a great deal,positive
excellent product i am very satisfied with the purchase,positive
i highly recommend these and encourage people to give them a try,positive
better than you'd expect,positive
using all earpieces left or right this thing will not stay on my ear,negative
great product and price,positive
"sounds good reasonably priced and effective, its that simple ",positive
still waiting i'm sure this item would work well if i ever recieve it,negative
what a disappointment,negative
very prompt service,positive
excellent product for the price,positive
very pleased with this headset,positive
don't waste your money and time,negative
i especially love the long battery life,positive
it's so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out,negative
works great,positive
plantronics bluetooth excelent buy,positive
i came over from verizon because cingulair has nicer cell phones the first thing i noticed was the really bad service,negative
i'll be looking for a new earpiece,negative
i highly recommend this device to everyone,positive
jawbone era is awesome too,positive
we received a white colored battery that goes dead after a couple hoursthe original used to last a week but still lasts longer than thereplacement,negative
after a year the battery went completely dead on my headset,negative
i have used several phone in two years but this one is the best,positive
an awesome new look for fall ,positive
this is the first phone i've had that has been so cheaply made,negative
att is not clear sound is very distorted and you have to yell when you talk,negative
the plastic breaks really easy on this clip,negative
price is good too,positive
don't make the same mistake i did,negative
oh and i forgot to also mention the weird color effect it has on your phone,negative
i'm using it with an iriver spinn with case and it fits fine,positive
also the area where my unit broke i'm not too fond of the magnetic strap,negative
overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception,positive
every thing on phone work perfectly she like it,positive
another note about this phone's appearance is that it really looks rather bland especially in the all black model,negative
it's really easy,positive
my sanyo has survived dozens of drops on blacktop without ill effect,positive
fantastic earphones,positive
it finds my cell phone right away when i enter the car,positive
low quality,negative
i highly recommend this modest priced cellular phone,positive
but it does get better reception and clarity than any phone i've had before,positive
warning stay away,negative
i wish i could return the unit and get back my money,negative
awsome device works great,positive
i used to talk on it for / hours and the battery would be literally drained and dying,negative
if you don't find it too bad as again the unit comes with one earpad onlyi would not recommend this to anyone,negative
very displeased,negative
i might have gotten a defect but i would not risk buying it again because of the built quality alone,negative
they made this case too small and is very difficult to install,negative
restored my phone to like new performance,positive
i would recommend purchasing the jabra jx series which works flawlessly with my moto q go figure,positive
i searched the internet and found this one to be the best value,positive
does not fit,negative
very happy with this product,positive
the screen size is big key pad lit well enough and the camera quality is excellent for a camera phone,positive
there's really nothing bad i can say about this headset,negative
i'm glad i found this product on amazon it is hard to find it wasn't high priced,positive
portable and it works,positive
my colleague & i now get great receptiona little expensive but performance is great,positive
i even fully charged it before i went to bed and turned off blue tooth and wi fi and noticed that it only had left in the morning,negative
i've also had problems with the phone reading the memory card in which i always turn it on and then off again,negative
not good when wearing a hat or sunglasses,negative
timely shipment and quality product,positive
nice solid keyboard,positive
very well made and fits my surefire gx perfectly,positive
horrible phone,negative
bt battery junk,negative
we would recommend these to others,positive
cant get the software to work with my computer,negative
disappointed,negative
poor voice clarity,negative
the battery works great,positive
no buyers remorse on this one,negative
very disappointed in accessoryone,negative
i find this inexcusable and so will probably be returning this phone and perhaps changing carriers,negative
looks great and is strong,positive
i have had tmobile service for or years now and i am pretty happy with it,positive
the update procedure is difficult and cumbersome,negative
disappointment i hate anything that goes in my ear,negative
great software for motorolas,positive
the delivery was on time,positive
very easy to use,positive
uncomfortable in the ear don't use with lg vx env,negative
the volume switch rocketed out of the unit to a destination unknown,negative
it holds a charge for a long time is reasonably comfortable under long wearing conditions and the quality of sound is tremendous,positive
i'd like to return it,negative
the keyboard is really worthwhile in usefulness and is sturdy enough i don't expect any problems,positive
verizon's bills however are difficult to understand even though their pricing plans are simple,negative
after charging overnight these batteries work great,positive
you won't regret it,positive
i love this phone,positive
a disappointment,negative
its not user friendly,negative
unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,negative
then i exchanged for the same phone even that had the same problem,negative
this results in the phone being either stuck at max volume or mute,negative
this pda rocks,positive
it is super charged up for use as a small hybrid palmtop/camera/cellphone and excels in those roles,positive
"i would definitely recommend the jabra bt v for those who are looking for comfort, clarity and a great price",positive
i had verizon years ago and really liked their service,positive
pretty piece of junk,negative
plug was the wrong size,negative
works as described,positive
save your money i've had this item for months now,negative
bad purchase,negative
well im satisfied,positive
the bose noise cancelling is amazing which is very important for a nyc commuter,positive
this battery is an excellent bargain,positive
defective crap,negative
i would have given no star if i was able,negative
i wear glasses and it fits fine with them,positive
the sound quality for the device is unacceptableunless you are in a really quiet area you almost hear nothing,negative
i would not recommend this item to anyone,negative
the holster that arrived did not match the photo in the ad,negative
greatno problems at all,positive
as an earlier review noted plug in this charger and nothing happens,negative
this frog phone charm is adorable and very eye catching,positive
you never know if you pushed it hard enough or the right number of times for the function you want or not,negative
the sound is clear and the people i talk to on it are amazed at the quality too,positive
i got the aluminum case for my new palm vx and it worked really well it has protected my handheld perfectly so far,positive
very good product well made,positive
mobile phone tools are a must have,positive
i am very impressed with the job that motorola did on the sturdiness of this phone,positive
i received my orders well within the shipping timeframe everything was in good working order and overall i am very excited to have this source,positive
the phone is sturdy and waterproof,positive
i am not impressed with this and i would not recommend this item to anyone,negative
my only complaint is the standard sound volume is a little low even when turned up to of ,negative
thanks again to amazon for having the things i need for a good price,positive
i ended up sliding it on the edge of my pants or back pockets instead,positive
i had to go to a store and bought a new nokia phone which is working great,positive
works great,positive
really ugly,negative
horrible had to switch times,negative
the noise shield is incrediable,positive
no real improvement,negative
razr battery good buy,positive
keep up the good work amazon,positive
they refuse to refund or replace,negative
unfortunately it's easy to accidentally activate them with the gentle touch buttons if you accidentally touch the phone to your face while listening,negative
so i basically threw my money out the window for nothing,negative
great case and price,positive
all it took was one drop from about inches above the kitchen counter and it was crackedi am not impressed and i am not laughing,negative
bluetooth range is good a few days ago i left my phone in the trunk got a call and carried the conversation without a hitch,positive
small sleek impressive looking practical setup with ample storage in place,positive
the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,positive
none of the new ones have ever quite worked properly,negative
i am glad i purchased it,positive
i've missed numerous calls because of this reason,negative
perhaps my phone is defective but people cannot hear me when i use this,negative
don't buy this product,negative
sucked most of the stuff does not work with my phone,negative
no shifting no bubbling no peeling not even a scratch nothingi couldn't be more happier with my new one for the droid,positive
worst software ever used if i could give this zero stars i would,negative
trying to make a call on these is an exercise in frustration,negative
the case is a flimsy piece of plastic and has no front or side protection whatsoever,negative
i own a jabra earset and was very happy with it but the sound quality especially outgoing on this is better,positive
i love the camera it's really pretty good quality,positive
thank you for such great service,positive
its a total package,positive
the seller is very understanding and patient i would definitely buy from them again,positive
i give wirefly stari will contact cingular/at&t; and inform them of this practice,negative
it's aggravating,negative
great product for the price,positive
"i have purchased these for both family and friends, and all enjoy their clarity and ease of use",positive
virgin wireless rocks and so does this cheap little phone,positive
none of it works just don't buy it,negative
muddy low quality sound and the casing around the wire's insert was poorly super glued and slid off,negative
please dont waste your money,negative
all in all i'm quite satisfied with this purchase,positive
if you are looking for a good quality motorola headset keep looking this isn't it,negative
yet plantronincs continues to use the same flawed charger design,negative
disapointing results,negative
cumbersome design,negative
"great it was new packaged nice works good, no problems and it came in less time then i expected",positive
great product,positive
it's a piece of crap,negative
my experience was terrible this was my fourth bluetooth headset and while it was much more comfortable than my last jabra which i hated,negative
this fixes all the problems,positive
worst ever,negative
i am very happy,positive
i've had no trouble accessing the internet downloading ringtones or performing any of the functions,positive
i can barely ever hear on it and am constantly saying what,negative
the battery life is highly unacceptable,negative
that company is a joke,negative
it does everything the description said it would,positive
due to this happening on every call i was forced to stop using this headset,negative
it works great with a car charger especially if you cannot plug in two adapters at the same time,positive
verizon tech support walked my through a few procedures none of which worked and i ended up having to do a hard re set wiping out all my data,negative
voice quality signal strength dropped calls,negative
it plays louder than any other speaker of this size; the price is so low that most would think the quality is lacking however it's not,positive
better than expected,positive
it feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them,negative
battery is holding up well,positive
also difficult to put oni'd recommend avoiding this product,negative
i only used it two days and it wasn't always easy to hear with,negative
i got the car charger and not even after a week the charger was brokeni went to plug it in and it started smoking,negative
sprint terrible customer service,negative
linked to my phone without effort,positive
they are so cool,positive
easy to use,positive
better than new,positive
what possesed me to get this junk i have no idea,negative
piece of trash,negative
a pretty good product,positive
this is a great phone,positive
for the price on amazon it is an excellent product which i would highly recommend,positive
their research and development division obviously knows what they're doing,positive
the real killer is the volume and of course it breaking,negative
those phones are working just fine now,positive
i am more than happy with this product,positive
poor construction,negative
this is infuriating,negative
overall i would recommend this phone over the new walkman,positive
sprint charges for this service,negative
it is cheap and it feel and look just as cheap,negative
it fits my ear well and is comfortable on,positive
it doesn't work in europe or asia,negative
clipping this to your belt will deffinitely make you feel like cent's up and coming,positive
i like design and look of jabra behing the ear headsets and is pretty comfortible to wear hours a day without pain in the ear,positive
i was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price,positive
the worst phone from samsungcrap this crappy samsung e is the worst i have ever seeen,negative
the charger worked for about a week and then completely stopped charging my phone,negative
poor product,negative
however i needed some better instructions,negative
you need two hands to operate the screenthis software interface is decade old and cannot compete with new software designs,negative
worked very well paired with a treo w and as a skype headset on my pc using a usb bluetooth transceiver,positive
steer clear of this product and go with the genuine palm replacementr pens which come in a three pack,negative
do not buy do not buyit sucks,negative
this is a great product sure beats using your fingers,positive
plus i seriously do not believe it is worth its steep price point,negative
all the other cases i've tried normally fall apart after a few months but this one seems to be in for the long haul,positive
very dissapointing performance,negative
don't make the same mistake that i did and please don't buy this phone,negative
this phone might well be the worst i've ever had in any brand,negative
case was more or less an extra that i originally put on but later discarded because it scratched my ear,negative
i recommend igo to anyone with different brand cell phones/mp players in the family,positive
don't bother go to the store,negative
"i posted more detailed comments under the grey or black phone, but i have the fire red and it's a great color",positive
i did not have any problem with this item and would order it again if needed,positive
you get what you pay for i guess,negative
not only did the software do a great job of this i could also make my own ringtones form my existing cds without an internet connection,positive
im surprised this is a good quality car charger and there's not much reviews about it,positive
these are fabulous,positive
however bt headsets are currently not good for real time games like first person shooters since the audio delay messes me up,negative
i used bitpim a free program you can find on the internetto transfer data to the phonethe price of the cable was excellent,positive
disappointing accessory from a good manufacturer,negative
performed awful muffled tinny incoming sound and severe echo for those on the other end of the call,negative
very wind resistant,positive
obviously they have a terrible customer service so you get what you pay for,negative
they do not last forever but is not overly expensive to replaceeasy to operate and the sound is much better than others i have tried,positive
i contacted the company and they told me that although the unit was still under warranty if i couldn't produce my receipt i was out of luck,negative
linksys should have some way to exchange a bad phone for a refurb unit or something,negative
phone is sturdy as all nokia bar phones are,positive
great phone,positive
when i placed my treo into the case not only was it not snug but there was a lot of extra room on the sides,negative
i'm pleased,positive
battery is terrible,negative
i found the product to be easy to set up and use,positive
the earpiece on this is too large or too heavyit keeps falling out of my ear,negative
utter crap sound quality is terrible,negative
the charger arrived within the promised timeframe but it did not work,negative
no ear loop needed it's tiny and the sound is great,positive
finally after three or four times the spring of the latch broke and i could not use it any longer on the visor,negative
the handsfree part works fine but then the car tries to download the address book and the treo rebootsoverall i still rate this device high,positive
talk about useless customer service,negative
it felt too light and tinny,negative
this does not fit the palm tungsten e and it broke the first time i tried to plug it in,negative
i'm happy about this purchase good quality and low price,positive
i love the look and feel of samsung flipphones,positive
its well designed and very sharp the blue is a very nice color,positive
does everything it should and more,positive
i could not recommend these more,negative
nice sound,positive
"looks good in the picture, but this case was a huge disappointment",negative
much less than the jawbone i was going to replace it with,positive
setup went very smoothly,positive
its extremely slow and takes forever to do anything with it,negative
a must study for anyone interested in the worst sins of industrial design,negative
the first thing that happened was that the tracking was off,negative
it is well made easy to access the phone and has a handy detachable belt clip,positive
then i had to continue pairing it periodically since it somehow kept dropping,negative
can't upload ringtones from a third party,negative
bluetooth does not work phone locks up screens just flash up and now it just makes calls randomly while in my pocket locked,negative
truly awful,negative
it works fine on my motorola cellphone and a lot better than the worn out battery did,positive
the volume for the ringer is real good you have choices how loud,positive
and none of the tones is acceptable,negative
camera color balance is awful,negative
this product is clearly not ready for prime time i don't care how cool it looks if you can't tell a call is coming in it's worthless,negative
i love the ringtones because they are so upbeat,positive
chinese forgeries abound,negative
easy to pair with my samsung cell,positive
the instructions didn't explain that a microphone jack could be used,negative
i would advise to not purchase this item it never worked very well,negative
too bad you have to pay up to a month for the service,negative
works well,positive
the nokia ca usb cable did not work with my phone,negative
clear crisp sound,positive
i have to use the smallest earpieces provided but it stays on pretty well,positive
the biggest complaint i have is the battery drains superfast,negative
the design might be ergonomic in theory but i could not stand having these in my ear,negative
do not buy if you want to use the holster,negative
the phone can also take great pictures and even video clips,positive
it doesn't make you look cool,negative
because both ears are occupied background is not distracting at all,positive
comfortable fit you need your headset to be comfortable for at least an hour at a time if not for an entire day,positive
also the phone doesn't seem to accept anything except cbr mps preferably ripped by windows media player,negative
you can't beat the price on these,positive
"comes with a strong light that you can use to light up your camera shots, and even flash sos signals seriously",positive
lightweight and works well,positive
so just beware,negative
i love this cable it allows me to connect any mini usb device to my pc,positive
so anyone near you will hear part of your conversation,negative
this is cool because most cases are just open there allowing the screen to get all scratched up,positive
i bought this phone as a replacement for my startac and have regretted it since,negative
appears to actually outperform the original battery from china that came with my vi,positive
