variance,skewness,curtosis,entropy,label
3.4985,3.1639,0.22677,-0.1651,fake
2.1948,1.3781,1.1582,0.85774,fake
2.2526,9.9636,-3.1749,-2.9944,fake
4.1529,-3.9358,2.8633,-0.017686,fake
0.74307,11.17,-1.3824,-4.0728,fake
1.9105,8.871,-2.3386,-0.75604,fake
-1.5055,0.070346,6.8681,-0.50648,fake
0.58836,10.7727,-1.3884,-4.3276,fake
3.2303,7.8384,-3.5348,-1.2151,fake
-1.9922,11.6542,2.6542,-5.2107,fake
2.8523,9.0096,-3.761,-3.3371,fake
4.2772,2.4955,0.48554,0.36119,fake
1.5099,0.039307,6.2332,-0.30346,fake
5.4188,10.1457,-4.084,-3.6991,fake
0.86202,2.6963,4.2908,0.54739,fake
3.8117,10.1457,-4.0463,-4.5629,fake
0.54777,10.3754,-1.5435,-4.1633,fake
2.3718,7.4908,0.015989,-1.7414,fake
-2.4953,11.1472,1.9353,-3.4638,fake
4.6361,-2.6611,2.8358,1.1991,fake
-2.2527,11.5321,2.5899,-3.2737,fake
3.7982,10.423,-4.1602,-4.9728,fake
-0.36279,8.2895,-1.9213,-3.3332,fake
2.1265,6.8783,0.44784,-2.2224,fake
0.86736,5.5643,1.6765,-0.16769,fake
3.7831,10.0526,-3.8869,-3.7366,fake
-2.2623,12.1177,0.28846,-7.7581,fake
1.2616,4.4303,-1.3335,-1.7517,fake
2.6799,3.1349,0.34073,0.58489,fake
-0.39816,5.9781,1.3912,-1.1621,fake
4.3937,0.35798,2.0416,1.2004,fake
2.9695,5.6222,0.27561,-1.1556,fake
1.3049,-0.15521,6.4911,-0.75346,fake
2.2123,-5.8395,7.7687,-0.85302,fake
1.9647,6.9383,0.57722,0.66377,fake
3.0864,-2.5845,2.2309,0.30947,fake
0.3798,0.7098,0.7572,-0.4444,fake
0.58982,7.4266,1.2353,-2.9595,fake
0.14783,7.946,1.0742,-3.3409,fake
-0.062025,6.1975,1.099,-1.131,fake
4.223,1.1319,0.72202,0.96118,fake
0.64295,7.1018,0.3493,-0.41337,fake
1.941,0.46351,4.6472,1.0879,fake
4.0047,0.45937,1.3621,1.6181,fake
3.7767,9.7794,-3.9075,-3.5323,fake
3.4769,-0.15314,2.53,2.4495,fake
1.9818,9.2621,-3.521,-1.872,fake
3.8023,-3.8696,4.044,0.95343,fake
4.3483,11.1079,-4.0857,-4.2539,fake
1.1518,1.3864,5.2727,-0.43536,fake
-1.2576,1.5892,7.0078,0.42455,fake
1.9572,-5.1153,8.6127,-1.4297,fake
-2.484,12.1611,2.8204,-3.7418,fake
-1.1497,1.2954,7.701,0.62627,fake
4.8368,10.0132,-4.3239,-4.3276,fake
-0.12196,8.8068,0.94566,-4.2267,fake
1.9429,6.3961,0.092248,0.58102,fake
1.742,-4.809,8.2142,-2.0659,fake
-1.5222,10.8409,2.7827,-4.0974,fake
-1.3,10.2678,-2.953,-5.8638,fake
3.4246,-0.14693,0.80342,0.29136,fake
2.5503,-4.9518,6.3729,-0.41596,fake
1.5691,6.3465,-0.1828,-2.4099,fake
1.3087,4.9228,2.0013,0.22024,fake
5.1776,8.2316,-3.2511,-1.5694,fake
2.229,9.6325,-3.1123,-2.7164,fake
5.6272,10.0857,-4.2931,-3.8142,fake
1.2138,8.7986,-2.1672,-0.74182,fake
0.3798,0.7098,0.7572,-0.4444,fake
0.5415,6.0319,1.6825,-0.46122,fake
4.0524,5.6802,-1.9693,0.026279,fake
4.7285,2.1065,-0.28305,1.5625,fake
3.4359,0.66216,2.1041,1.8922,fake
0.86816,10.2429,-1.4912,-4.0082,fake
3.359,9.8022,-3.8209,-3.7133,fake
3.6702,2.9942,0.85141,0.30688,fake
1.3349,6.1189,0.46497,0.49826,fake
3.1887,-3.4143,2.7742,-0.2026,fake
2.4527,2.9653,0.20021,-0.056479,fake
3.9121,2.9735,0.92852,0.60558,fake
3.9364,10.5885,-3.725,-4.3133,fake
3.9414,-3.2902,3.1674,1.0866,fake
3.6922,-3.9585,4.3439,1.3517,fake
5.681,7.795,-2.6848,-0.92544,fake
0.77124,9.0862,-1.2281,-1.4996,fake
3.5761,9.7753,-3.9795,-3.4638,fake
1.602,6.1251,0.52924,0.47886,fake
2.6682,10.216,-3.4414,-4.0069,fake
2.0007,1.8644,2.6491,0.47369,fake
0.64215,3.1287,4.2933,0.64696,fake
4.3848,-3.0729,3.0423,1.2741,fake
0.77445,9.0552,-2.4089,-1.3884,fake
0.96574,8.393,-1.361,-1.4659,fake
3.0948,8.7324,-2.9007,-0.96682,fake
4.9362,7.6046,-2.3429,-0.85302,fake
-1.9458,11.2217,1.9079,-3.4405,fake
5.7403,-0.44284,0.38015,1.3763,fake
-2.6989,12.1984,0.67661,-8.5482,fake
1.1472,3.5985,1.9387,-0.43406,fake
2.9742,8.96,-2.9024,-1.0379,fake
4.5707,7.2094,-3.2794,-1.4944,fake
0.1848,6.5079,2.0133,-0.87242,fake
0.87256,9.2931,-0.7843,-2.1978,fake
0.39559,6.8866,1.0588,-0.67587,fake
3.8384,6.1851,-2.0439,-0.033204,fake
2.8209,7.3108,-0.81857,-1.8784,fake
2.5817,9.7546,-3.1749,-2.9957,fake
3.8213,0.23175,2.0133,2.0564,fake
0.3798,0.7098,0.7572,-0.4444,fake
3.4893,6.69,-1.2042,-0.38751,fake
-1.7781,0.8546,7.1303,0.027572,fake
2.0962,2.4769,1.9379,-0.040962,fake
0.94732,-0.57113,7.1903,-0.67587,fake
2.8261,9.4007,-3.3034,-1.0509,fake
0.0071249,8.3661,0.50781,-3.8155,fake
0.96788,7.1907,1.2798,-2.4565,fake
4.7432,2.1086,0.1368,1.6543,fake
3.6575,7.2797,-2.2692,-1.144,fake
3.8832,6.4023,-2.432,-0.98363,fake
3.4776,8.811,-3.1886,-0.92285,fake
1.1315,7.9212,1.093,-2.8444,fake
2.8237,2.8597,0.19678,0.57196,fake
1.9321,6.0423,0.26019,-2.053,fake
3.0632,-3.3315,5.1305,0.8267,fake
-1.8411,10.8306,2.769,-3.0901,fake
2.8084,11.3045,-3.3394,-4.4194,fake
2.5698,-4.4076,5.9856,0.078002,fake
-0.12624,10.3216,-3.7121,-6.1185,fake
3.3756,-4.0951,4.367,1.0698,fake
-0.048008,-1.6037,8.4756,0.75558,fake
0.5706,-0.0248,1.2421,-0.5621,fake
0.88444,6.5906,0.55837,-0.44182,fake
3.8644,3.7061,0.70403,0.35214,fake
1.2999,2.5762,2.0107,-0.18967,fake
2.0051,-6.8638,8.132,-0.2401,fake
4.9294,0.27727,0.20792,0.33662,fake
2.8297,6.3485,-0.73546,-0.58665,fake
2.565,8.633,-2.9941,-1.3082,fake
2.093,8.3061,0.022844,-3.2724,fake
4.6014,5.6264,-2.1235,0.19309,fake
5.0617,-0.35799,0.44698,0.99868,fake
-0.2951,9.0489,-0.52725,-2.0789,fake
3.577,2.4004,1.8908,0.73231,fake
3.9433,2.5017,1.5215,0.903,fake
2.6648,10.754,-3.3994,-4.1685,fake
5.9374,6.1664,-2.5905,-0.36553,fake
2.0153,1.8479,3.1375,0.42843,fake
5.8782,5.9409,-2.8544,-0.60863,fake
-2.3983,12.606,2.9464,-5.7888,fake
1.762,4.3682,2.1384,0.75429,fake
4.2406,-2.4852,1.608,0.7155,fake
3.4669,6.87,-1.0568,-0.73147,fake
3.1896,5.7526,-0.18537,-0.30087,fake
0.81356,9.1566,-2.1492,-4.1814,fake
0.52855,0.96427,4.0243,-1.0483,fake
2.1319,-2.0403,2.5574,-0.061652,fake
0.33111,4.5731,2.057,-0.18967,fake
1.2746,8.8172,-1.5323,-1.7957,fake
2.2091,7.4556,-1.3284,-3.3021,fake
2.5328,7.528,-0.41929,-2.6478,fake
3.6244,1.4609,1.3501,1.9284,fake
-1.3885,12.5026,0.69118,-7.5487,fake
5.7227,5.8312,-2.4097,-0.24527,fake
3.3583,10.3567,-3.7301,-3.6991,fake
2.5227,2.2369,2.7236,0.79438,fake
0.045304,6.7334,1.0708,-0.9332,fake
4.8278,7.7598,-2.4491,-1.2216,fake
1.9476,-4.7738,8.527,-1.8668,fake
2.7659,0.66216,4.1494,-0.28406,fake
-0.10648,-0.76771,7.7575,0.64179,fake
0.72252,-0.053811,5.6703,-1.3509,fake
4.2475,1.4816,-0.48355,0.95343,fake
3.9772,0.33521,2.2566,2.1625,fake
3.6667,4.302,0.55923,0.33791,fake
2.8232,10.8513,-3.1466,-3.9784,fake
-1.4217,11.6542,-0.057699,-7.1025,fake
4.2458,1.1981,0.66633,0.94696,fake
4.1038,-4.8069,3.3491,-0.49225,fake
1.4507,8.7903,-2.2324,-0.65259,fake
3.4647,-3.9172,3.9746,0.36119,fake
1.8533,6.1458,1.0176,-2.0401,fake
3.5288,0.71596,1.9507,1.9375,fake
3.9719,1.0367,0.75973,1.0013,fake
3.534,9.3614,-3.6316,-1.2461,fake
3.6894,9.887,-4.0788,-4.3664,fake
3.0672,-4.4117,3.8238,-0.81682,fake
2.6463,-4.8152,6.3549,0.003003,fake
2.2893,3.733,0.6312,-0.39786,fake
1.5673,7.9274,-0.056842,-2.1694,fake
4.0405,0.51524,1.0279,1.106,fake
4.3846,-4.8794,3.3662,-0.029324,fake
2.0165,-0.25246,5.1707,1.0763,fake
4.0446,11.1741,-4.3582,-4.7401,fake
-0.33729,-0.64976,7.6659,0.72326,fake
-2.4604,12.7302,0.91738,-7.6418,fake
4.1195,10.9258,-3.8929,-4.1802,fake
2.0193,0.82356,4.6369,1.4202,fake
1.5701,7.9129,0.29018,-2.1953,fake
2.6415,7.586,-0.28562,-1.6677,fake
5.0214,8.0764,-3.0515,-1.7155,fake
4.3435,3.3295,0.83598,0.64955,fake
1.8238,-6.7748,8.3873,-0.54139,fake
3.9382,0.9291,0.78543,0.6767,fake
2.2517,-5.1422,4.2916,-1.2487,fake
5.504,10.3671,-4.413,-4.0211,fake
2.8521,9.171,-3.6461,-1.2047,fake
1.1676,9.1566,-2.0867,-0.80647,fake
2.6104,8.0081,-0.23592,-1.7608,fake
0.32444,10.067,-1.1982,-4.1284,fake
3.8962,-4.7904,3.3954,-0.53751,fake
